Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_ch_cs1995-1999,150,51,0.7076449210249525,5.882352941176471,16.358620689655172,1.46875,6,45
net_ch_cs2003-2007,274,47,0.838039798551667,11.659574468085106,16.894248608534326,2.0789473684210527,20,28
net_ch_cs2011-2015,114,44,0.5779349490378902,5.181818181818182,11.081447963800905,1.5,4,40
net_ch_cs1999-2003,297,48,0.8244777227659065,12.375,20.994915254237288,1.6772151898734178,13,35
net_ch_cs2007-2011,167,50,0.7446595589736007,6.68,13.17933130699088,1.3863636363636365,6,41
net_ch_cn2003-2007,3807,224,0.820445619588057,33.99107142857143,58.73295604106344,2.019298245614035,96,129
net_ch_cn1999-2003,3694,211,0.830951918539283,35.01421800947867,63.14425295155382,1.9926739926739927,91,121
net_ch_cn2007-2011,4807,220,0.68671711508554,43.699999999999996,65.12080116837053,1.9769378131447097,117,104
net_ch_cn2011-2015,3889,226,0.5872481123716499,34.415929203539825,53.60170476559473,2.068228706159741,117,110
net_ch_cn1995-1999,2084,219,0.8310307700513097,19.03196347031963,41.11544950590504,2.3794288736118454,62,158
